,pyKVFinder,parKVFinder,fpocket,GHECOM,POVME,pywindow,MoloVol,CAVER
A1,1399.36,1399.36,1387.362,1362.4,840.0,1028.70,1410.7,1778.0
B1,283.39,283.39,247.298,175.1,109.0,132.96,261.144,395.7
B2,283.14,283.14,279.301,192.0,108.0,89.53,288.360,339.4
B3,268.66,268.66,277.213,190.5,99.0,112.77,252.504,335.1
B4,437.61,437.61,434.423,343.0,222.0,250.72,410.4,473.8
B5,77.92,77.92,84.330,29.2,10.5,36.77,43.848,65.4
B6,80.86,80.86,82.099,63.5,10.75,39.50,55.08,79.1
B7,757.19,757.19,770.980,733.7,385.0,491.73,708.048,777.9
B8,731.3,731.3,804.544,704.0,409.0,517.11,747.36,681.5
B9,155.28,155.28,180.937,159.2,62.0,122.15,176.904,173.3
B10,250.69,250.69,225.294,161.3,94.0,124.64,225.288,350.6
B11,496.08,496.08,481.536,400.9,208.0,265.24,434.808,456.7
B12,737.09,737.09,627.392,605.7,319.0,531.75,649.944,742.3
B13,872.38,872.38,811.388,752.1,450.0,555.38,820.584,1031.4
C1,558.11,558.11,616.923,668.7,373.0,412.076,648.00,569.2
F1,462.77,462.77,482.616,654.8,461.0,306.25,653.184,480.8
F2,37728.29,37728.29,39077.113,59146.8,45704.0,30567.56,62843.00,22940.5
H1,225.81,225.81,210.748,428.5,168.0,154.20,409.32,215.4
N1,487.95,487.95,494.979,460.8,211.0,314.38,526.176,543.1
O1,160.14,160.14,176.605,146.4,59.0,80.00,171.936,198.6
O2,36.05,36.05,NA,NA,2.125,5.74,36.72,NA
W1,865.91,865.91,541.874,935.9,275.0,263.15,984.096,1008.4
